Código OTRI,Título del contrato,Tipo contrato,Tipo contrato,CIF,CNAE,Descripción CNAE,Nombre entidad,Caracter,Caracter,Ambito,Ambito,Id. Pers,Nombre completo,Id. Categoria,Categoria,Nombre Departamento,Titulares,,Importe sin IVA,Fecha de firma,Fecha de fin,Código contable,Fecha de cierre,Ubicación expediente,,,CNAE,Descripción CNAE
2016024086,ESA CONTRACT Compact High-Power Ka-Band Low-Pass Filters for Multibeam Satellite Payloads,I+D,Investigación y desarrollo,B97688741,7112,Servicios técnicos de ...,Aurora Software and Testing S.L.,PRV,Privado,EST, ,2553,"Gómez Laso, Miguel Ángel",TU,Titular de Universidad,Ingeniería Eléctrica y Electrónica,"Lopetegui Beregaña, José María(INV - TU); Gómez Laso, Miguel Ángel(PRI - TU); Benito Pertusa, David(INV - CU); Arnedo Gil, Israel(INV - PD1); Teberio Berdún, Fernando(INV - UNI); Gómez Torrent, Adrián(INV - FPU); Percaz Ciriza, Jon Mikel(INV - 196); Percaz Ciriza, Jon Mikel(INV - UNI); Arregui Padilla, Iván(INV - PAD)","Martínez de Morentín Suescun, Cristian(INV); Berenguer Verdu, Antonio Jose(INV)",50000,28/07/2016,30/04/2017,3030007357,,\\tsclient\T\2016024086.pdf,,2009_8411,8411,Actividades generales de la Administración Pública
2016021085,Desarrollo de un palet de plástico desmontable y modular,I+D,Investigación y desarrollo,B97560692,4619,Intermediarios del comercio de productos diversos,"Avantpack, S.L.",PRV,Privado,EST, ,432,"Alfaro López, José Ramón",TU,Titular de Universidad,Proyectos e Ingeniería Rural,"Gil Ruíz, Pilar(INV - TU); Alfaro López, José Ramón(PRI - TU); Calvo Herrero, Luis Miguel(INV - AS3)","Escribano Rodríguez, Estela(AYP)",17826,12/09/2016,09/02/2017,3030007356,23/02/2017,\\tsclient\T\2016021085.pdf,,2009_6201,6201,Actividades de programación informática
2016021071,"Evaluación del comportamiento en carga del palet desmontable de plástico tipo europeo de 1200x800, fabricado por Logicpalet",SER,Servicios,B97560692,4619,Intermediarios del comercio de productos diversos,"Avantpack, S.L.",PRV,Privado,EST, ,432,"Alfaro López, José Ramón",TU,Titular de Universidad,Proyectos e Ingeniería Rural,"Alfaro López, José Ramón(PRI - TU); Calvo Herrero, Luis Miguel(INV - AS1)",,490,13/06/2016,12/07/2016,3030007380,,\\tsclient\T\2016021071.pdf,,2009_1102,1102,Elaboración de vinos
2016024032,Fibra óptica hasta el hogar en el Valle de Aranguren,I+D,Investigación y desarrollo,P3102300E,8411,Actividades generales de la Administración Pública,Ayuntamiento de Aranguren,PUB,Público,AUT, ,2553,"Gómez Laso, Miguel Ángel",TU,Titular de Universidad,Ingeniería Eléctrica y Electrónica,"Lopetegui Beregaña, José María(INV - TU); Gómez Laso, Miguel Ángel(PRI - TU); Benito Pertusa, David(PRI - CU); Arnedo Gil, Israel(INV - PD1); Teberio Berdún, Fernando(INV - UNI); Gómez Torrent, Adrián(INV - FPU); Percaz Ciriza, Jon Mikel(INV - 196); Arregui Padilla, Iván(INV - AY)",,4500,12/05/2016,11/08/2016,3030007290,08/03/2017,\\tsclient\T\2016024032.pdf,,,,
2016026076,Realización de un estudio de la diversidad cultural y un plan de acción para fomentar la convivencia y la participación de la ciudadanía de Burlada ,ASE,Asesoría y consultoría,P3126600J,8411,Actividades generales de la Administración Pública,Ayuntamiento de Burlada,PUB,Público,AUT, ,8258,"Andueza Imirizaldu, Izaskun",SUS,Profesor Sustituto de la Docencia,Trabajo Social,"Jabat Torres, Edurne(PRI - AS3); Andueza Imirizaldu, Izaskun(PRI - SUS); Lasheras Ruiz, Rubén(PRI - AS3)",,24000,21/06/2016,20/06/2018,3030007306,,\\tsclient\T\2016026076.pdf,,0,0,NULL
2016009043,Asistencia técnica de elaboración de un informe pericial sobre vulneración de derechos humanos durante la guerra civil y la etapa franquista,ASE,Asesoría y consultoría,P3120100G,8411,Actividades generales de la Administración Pública,Ayuntamiento de Pamplona/Iruñako Udala,PUB,Público,LO, ,1723,"Majuelo Gil, Emilio",TU,Titular de Universidad,Geografía e Historia,"Majuelo Gil, Emilio(PRI - TU); Mendiola Gonzalo, Fernando(INV - PD1)","Piérola Narvarte, Gemma(COP)",12366.12,21/04/2016,01/09/2016,3030007247,16/03/2017,\\tsclient\T\2016009043Dpto.pdf,,,,
2016026031,Diagnóstico e Intervención Social Intercultural participada sobre Convivencia en Etxabakoiz,I+D,Investigación y desarrollo,P3120100G,8411,Actividades generales de la Administración Pública,Ayuntamiento de Pamplona/Iruñako Udala,PUB,Público,LO, ,8258,"Andueza Imirizaldu, Izaskun",SUS,Profesor Sustituto de la Docencia,Trabajo Social,"Andueza Imirizaldu, Izaskun(PRI - SUS); Lasheras Ruiz, Rubén(PRI - AS3); Lasheras Ruiz, Rubén(PRI - COP)",,5000,01/03/2016,31/12/2016,3030007280,,\\tsclient\T\2016026031.pdf,,2009_2896,2896,Fabricación de maquinaria para las industrias del plástico y del caucho
2016018055,Afrontando la violencia de género desde el ámbito policial. 1ª Edición.,FOR,Formación,P3120100G,8411,Actividades generales de la Administración Pública,Ayuntamiento de Pamplona/Iruñako Udala,PUB,Público,LO, ,7527,"Zuloaga  Lojo, Lohitzune",AS3,Asociado 3,Sociología,"Zuloaga Lojo, Lohitzune(PRI - AS3)",,2334.24,15/04/2016,11/05/2016,3030007283,03/11/2016,\\tsclient\T\2016018055.pdf,,,,
2016018056,Afrontando la violencia de género desde el ámbito policial. 2ª Edición,FOR,Formación,P3120100G,8411,Actividades generales de la Administración Pública,Ayuntamiento de Pamplona/Iruñako Udala,PUB,Público,LO, ,6920,"Jabat  Torres, Edurne",AS3,Asociado 3,Sociología,"Jabat Torres, Edurne(PRI - AS3)",,2334.24,15/04/2016,11/05/2016,3030007291,02/12/2016,\\tsclient\T\2016018056.pdf,,,,
2016026038,Elaboración de un diagnóstico y una planificación de propuestas integradas destinada a la revitalización socio-urbanística en el cuadrante más antiguo del barrio de San Jorge - Sanduzelai,I+D,Investigación y desarrollo,P3120100G,8411,Actividades generales de la Administración Pública,Ayuntamiento de Pamplona/Iruñako Udala,PUB,Público,LO, ,7263,"Jaúregui Virto, Alberto Javier",AS3,Asociado 3,Trabajo Social,"Jaúregui Virto, Alberto Javier(PRI - AS3)",,8500,13/06/2016,31/10/2016,3030007297,,\\tsclient\T\2016026038-Completo.pdf,,2009_1012,1012,Procesado y conservación de volatería
