No_,Name,ALIAS,CNAE,CNAE,Convenios iniciados 2016,Practicascurriculares2016,Practicasextracurriculares,Selecciones2016Empleootrabajo,Ingresos2016
EMP002268,"Automatizaciones Lamuce, S.L.","AUTOMATIZACIONES LAMUCE, S.L.",Fabricación de maquinas herramienta para trabajar el metal,2841,4,2,2,,7027.68
EMP002968,"Automatizaciones Simac, S.L.",SIMAC,Fabricación de maquinas herramienta para trabajar el metal,2841,,0,0,1,
EMP004220,"Automoción Sostenible T+C, S.L.","AUTOMOCIÓN SOSTENIBLE T+C, S.L.","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,1,1,0,,393.25
EMP004137,AutoVision Servicios Sucursal en España,AUTOVISION SERVICIOS SUCURSAL EN ESPAÑA,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,1,0,1,,8177.36
EMP002001,"Avanvida, S.L.","AVANVIDA, S.L.",Actividades de servicios sociales sin alojamiento para  personas mayores,8811,3,3,0,,
EMP004863,"Avis Budget Group Contact Centre Emea, S.A.","AVIS BUDGET GROUP CONTACT CENTRE EMEA, S.A.","Proceso de datos, hosting y actividades relacionadas",6311,1,0,1,,1097.29
INS000296,Ayuntamiento de Azagra,AYUNTAMIENTO DE AZAGRA,Actividades generales de la Administración Pública,8411,1,0,1,,3684.16
INS000075,Ayuntamiento de Barañáin,AYUNTAMIENTO DE BARAÑÁIN,Actividades generales de la Administración Pública,8411,1,1,0,,
INS000131,Ayuntamiento de Estella,AYUNTAMIENTO DE ESTELLA,Actividades generales de la Administración Pública,8411,1,1,0,,
EMP004063,Ayuntamiento de Funes,AYUNTAMIENTO DE FUNES,Actividades generales de la Administración Pública,8411,2,0,2,,12783.14
INS000309,Ayuntamiento de Legorreta,AYUNTAMIENTO DE LEGORRETA,Actividades generales de la Administración Pública,8411,1,0,1,,393.25
INS000176,Ayuntamiento de Noain-Valle de Elorz,AYUNTAMIENTO DE NOAIN-VALLE DE ELORZ,Actividades generales de la Administración Pública,8411,1,0,1,,11264.17
INS000281,Ayuntamiento de Orkoien,AYUNTAMIENTO DE ORKOIEN,Actividades generales de la Administración Pública,8411,2,1,1,,2042.25
INS000063,Ayuntamiento de Pamplona,AYUNTAMIENTO DE PAMPLONA,Actividades generales de la Administración Pública,8411,6,6,0,,
INS000020,Ayuntamiento de Tafalla,AYUNTAMIENTO DE TAFALLA,Actividades generales de la Administración Pública,8411,1,1,0,,80.75
INS000287,Ayuntamiento de Zizur Mayor,AYUNTAMIENTO DE ZIZUR MAYOR,Actividades generales de la Administración Pública,8411,1,1,0,,
INS000270,Ayuntamiento del Valle de Egües,AYUNTAMIENTO DEL VALLE DE EGÜES,Actividades generales de la Administración Pública,8411,1,1,0,,80.75
EMP004245,"AZ Metrology Services, S.L.L.","AZ METROLOGY SERVICES, S.L.L.",Ingeniería mecánica por cuenta de terceros,2562,1,1,0,,2973.25
EMP002265,"Azkoyen, S.A.","AZKOYEN, S.A.",Comercio al por mayor de otra maquinaria y equipo,4666,20,9,11,,89399.80
EMP000177,"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,Otra intermediación monetaria,6419,3,0,3,,12959.71
EMP004474,Barrenetxe S. Coop.,BARRENETXE S. COOP.,"Cultivo de hortalizas, raíces y tubérculos",113,,0,0,1,278.30
EMP001151,"BDO Quota Auditores, S.L.","BDO QUOTA AUDITORES, S.L.","Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",6920,3,0,3,,20567.96
EMP002805,"Behar Consultores, S.L.L.","BEHAR CONSULTORES, S.L.L.","Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",6920,1,0,1,,11894.86
EMP003951,"Berlys Corporación Alimentaria, S.A.U.",BERLYS  HORNO ARTESANO,Fabricación de pan y de productos frescos de panadería y pastelería,1071,2,0,2,,4722.02
EMP002734,"Biko2 2006, S.L.","BIKO2 2006, S.L.",Actividades de consultoría informática,6202,1,1,0,,7082.64
EMP004743,"Bildu Lan, Maquinaria Especial y Automatización,","BILDU LAN, MAQUINARIA ESPECIAL Y AUTOMATIZACIÓN,",Fabricación de maquinaria para la industria metalúrgica,2891,1,1,0,,1623.25
EMP000202,"Bodega San Martín, S. Coop.","BODEGA SAN MARTÍN, S. COOP.",Elaboración de vinos,1102,2,0,2,,5636.46
EMP000210,"Bodegas Piedemonte, S. Coop.","BODEGAS PIEDEMONTE, S. COOP.",Elaboración de vinos,1102,2,0,2,,5828.67
EMP004244,"BPM & SOA Solutions Architecs, S.L.","BPM & SOA SOLUTIONS ARCHITECS, S.L.",Actividades de consultoría informática,6202,1,1,0,,4048.25
EMP003588,"Brandok Comunicación, S.L.",(BRANDOK COMUNICATE),Servicios de representación de medios de comunicación,7312,2,0,2,,15632.90
EMP000227,"BSH Electrodomésticos España, S.A.","BSH ELECTRODOMÉSTICOS ESPAÑA, S.A.",Fabricación de electrodomésticos,2751,23,0,23,,95210.11
EMP004837,"BSK Legal & Fiscal Asociados, S.L.P.U.","BSK LEGAL & FISCAL ASOCIADOS, S.L.P.U.",Actividades jurídicas,6910,7,4,3,3,3536.83
EMP003398,"C. Soluciones Empresariales Valle del Ebro, S.L.U.","C. SOLUCIONES EMPRESARIALES VALLE DEL EBRO, S.L.U.",Otras actividades de consultoría de gestión empresarial,7022,2,1,1,,10633.52
EMP001602,"Cabelte Incasa, Industria Navarra de Cables, SAU",CABELTE INCASA,Fabricación de otros hilos y cables electrónicos y eléctricos,2732,,0,0,1,1203.95
